Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Country,Company Name
CO2 Transparency,CO2 Tracking,2016,Distant,https://mixislink.com,Blockchain and AI-based Energy intelligence solutions,Seed,"2,272,110",China,Beijing Rongxing Technology
Data & AI,Fleet Utilization,2003,Existing,https://bestrane.com.au,Developer and reseller of technology solutions for logistics,Funded,,Australia,Bestrane
"Infrastructure, vessel & Asset efficiency",Crew Incentivisation,2013,Existing,https://betterworks.com,"Online goal setting, tracking and management",Series B,"70,500,000",USA,BetterWorks
Business Model Innovation,Freight Orchestration,2016,Emerging,https://bext360.com/,Supply Chain Digitization,Seed,"3,350,000",USA,Bext360
Data & AI,Digital twin,2014,Distant,https://bigchaindb.com,Decentralized database solutions provider,Series A,"3,370,000",Germany,BigChainDB
CO2 Transparency,Blockchain For CO2 Provenance,2017,Existing,https://webild.it,P2P marketplace for infrastructure and Energy investment,Seed,"120,000",USA,Bild
Data & AI,Fleet Utilization,2015,Existing,https://blackbuck.com,Online portal for freight transport booking,Series D,"290,542,092",India,BlackBuck
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2013,Existing,https://blackburnenergy.com,Kinetic energy conversion systems provider,Seed,"50,000",USA,Blackburn Energy
Data & AI,Fleet Utilization,2014,Emerging,https://blueoceanmonitoring.com,"Provides ocean data / maritime surveys, more relevant for Oil & Gas industry",Series B,,Australia,Blue Ocean Monitoring
"Carbon CS, offsetting & trading",CO2 Upcycling,2013,Emerging,https://blueplanet-ltd.com,Carbon capture to concrete and building materials technology,Series A,"4,832,500",USA,Blue Planet
Business Model Innovation,Green Freight,2008,Existing,https://bluetechnology.dk/,No Fossil for ship propulsion,,,Denmark,Blue Technology
Data & AI,Port-Side Analytics,2018,Emerging,https://bluecargo.io,Provider of predictive analytics for port operations,Seed,"3,150,000",USA,BlueCargo
CO2 Transparency,CO2 Tracking,2016,Existing,https://bluefield.co,Building micro-satellites for methane tracking,Seed,"250,004",USA,Bluefield
Business Model Innovation,Freight Orchestration,2018,Distant,https://bluextrade.com,Online platform for ocean cargo booking,Funded,,Taiwan,BlueX
Data & AI,Fleet Utilization,2015,Existing,https://boatpilot.me,Provides marine navigation solutions for leisure boats,,,,BoatPilot
Business Model Innovation,Freight Orchestration,2018,Distant,https://bookairfreight.com,Online platform for booking air freights,Seed,"150,000",China,Booking Air Freight
Fuel & Efficiency,New Fuel Types,2010,Existing,https://borit.be,Provider of components for fuel cells and electrolyzers,Series A,"8,470,000",Belgium,Borit
Data & AI,Port-Side Analytics,2017,Existing,https://gdyxkk.com,Provider of solutions for managing terminal operations,Series A,"1,417,680",China,Box look
Business Model Innovation,Freight Orchestration,2018,Distant,https://boxxport.com,Online marketplace for shipping containers,Funded,,Germany,BOXXPORT
Fuel & Efficiency,New Fuel Types,2012,Existing,https://baileypowersystems.com,Technology solutions provider for hydrogen fuel cell,Seed,"25,000",USA,BPS
Fuel & Efficiency,New Fuel Types,2015,Existing,https://brambleenergy.com,Developer of proton exchange membrane based fuel cells,Seed,,England,Bramble Energy
Business Model Innovation,CO2 Reduction Monetization In Other Industries,2016,Distant,https://breathesciences.com/,Transform CO2 - Methanol,funded,,,Breathe
Business Model Innovation,Freight Orchestration,2013,Emerging,https://budguiden.se,Online marketplace for booking transportation service providers,Seed,"280,300",Sweden,Budguiden
Fuel & Efficiency,New Vessel Design,2014,Emerging,https://buffautomation.com,Technology that enables development of autonomous marine vessels,Seed,"900,000",USA,Buffalo Automation
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2008,Existing,https://c-capture.co.uk,Developer of carbon capture technology,Series A,"4,575,650",England,C-Capture
"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,2017,Emerging,https://c4coin.org/,Cryptocurrency backed by carbon credits,Seed,"450,000",USA,C4Coin
Business Model Innovation,CO2 Reduction Monetization In Other Industries,2018,Distant,https://ccccx.net/en/index.asp,Transform CO2 - Chemicals,funded,,,C4X
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2007,Existing,https://calera.com/,Carbon dioxide sequestration,Series B,"26,000,000",USA,Calera
Data & AI,Fleet Utilization,2016,Emerging,https://capellaspace.com,Provides Imaging services through constellation of small satellites,Series B,"78,123,773",USA,Capella Space
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2009,Existing,https://carboncleansolutions.com/,Carbondioxide capture solvent technology provider,Series B,"22,240,000",India,Carbon Clean Solutions
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2009,Existing,https://carbonengineering.com/,Developers of CO2 capture technologies from air,Series B,"115,000,000",England,Carbon Engineering
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2009,Existing,https://climeworks.com,Designs and manufactures devices for extracting carbon dioxide from ambient air,Series C,"36,353,600",Switzerland,Climeworks
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2010,Existing,https://carbonlighthouse.com,Energy efficiency measures for buildings,Series B,"59,600,000",USA,Carbon Lighthouse
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2008,Existing,https://ioncleanenergy.com/,Developer of CO2 capture technologies,Funded,,USA,ION Engineering
"Carbon CS, offsetting & trading",CO2 Upcycling,2016,Emerging,https://carbonfreechem.com,Carbon capture technology to convert flue gases to solid usable products,Funded,,USA,Carbonfree Chemicals
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2013,Emerging,https://carbonoro.com,Carbon dioxide capture from gases using amines,Funded,,Netherlands,CarbonOrO
"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,2011,Existing,https://carbonstop.net,"Carbon emission management solution provider: carbon account, software, exchange",Funded,,China,Carbonstop
Data & AI,Fleet Utilization,2013,Emerging,https://cargox.com.br,Online marketplace for freight transportation services,Series D,"95,000,000",Brazil,Cargo X
Business Model Innovation,Freight Orchestration,2017,Emerging,https://cargo.one,Online marketplace for air freight forwarding services,Seed,"3,200,000",Germany,cargo.one
Business Model Innovation,Freight Orchestration,2013,Emerging,https://cargobase.com,Air freight marketplace,Seed,"450,000",Singapore,Cargobase
Data & AI,Fleet Utilization,2016,Existing,https://cargobot.io,Online marketplace for shippers and road carriers,Series A,"5,193,810",USA,CargoBot
Business Model Innovation,Freight Orchestration,2018,Distant,https://thecargocoin.com,Decentralized marketplace for freight shipping services,Funded,,England,CargoCoin
Business Model Innovation,Freight Orchestration,2012,Emerging,https://cargohound.com,Reverse auction based marketplace,Seed,"800,000",Australia,Cargohound
"Infrastructure, vessel & Asset efficiency",In-Port Vessel Time Reduction,2017,Distant,https://cargomate.co.uk,Cargo management solution for ports,Seed,"660,145",England,CargoMate
Data & AI,Fleet Utilization,2010,Existing,https://cargometrics.com,Offers technology and method development for measuring maritime trade and in other fields,funded,,,CargoMetrics
Fuel & Efficiency,New Fuel Types,2011,Existing,https://cellaenergy.com,Makes hydrogen storage systems,Seed,"1,767,000",England,Cella Energy
Fuel & Efficiency,Energy Efficiency & Storage,2012,Existing,https://cenergist.com,Turnkey solutions for energy and water efficiency,Seed,"584,218",England,Cenergist
Fuel & Efficiency,New Fuel Types,2014,Existing,https://ceragen.org,Solid Oxide Fuel cell developers,Seed,,Germany,Ceragen
Fuel & Efficiency,Energy Efficiency & Storage,2015,Existing,https://cereustechnology.com,Fuel efficient combustion technology for engines,Seed,,Netherlands,Cereus Technology
Fuel & Efficiency,New Fuel Types,2018,Existing,https://cfs.energy,Tokamak nuclear fusion reactors developer,Series A,"179,594,246",USA,CFS
Fuel & Efficiency,New Fuel Types,2013,Emerging,https://cgon.co.uk,Hydrogen fuel cells,Seed,"258,751",England,Cgon
Fuel & Efficiency,Energy Efficiency & Storage,2013,Distant,https://chakratec.com,Flywheel storage system,Series C,"7,600,000",Israel,Chakratec
Business Model Innovation,Freight Orchestration,2017,Emerging,https://cheap2ship.com,Online platform for booking multi-modal freight transportation,Funded,,Brazil,Cheap2Ship
Business Model Innovation,Freight Orchestration,2009,Existing,https://cheapcargo.com,Online marketplace for booking freight carriers,Acquired,,Netherlands,CheapCargo
Data & AI,Fleet Utilization,2015,Existing,https://chemanman.com,Online freight marketplace with TMS offering,Series B,"21,395,500",China,Chemanman
"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,2017,Emerging,https://chooose.today/,Cryptocurrency platform provider backed by CO2 emission permits,Seed,"4,000,000",Norway,CHOOOSE
Business Model Innovation,Freight Orchestration,2014,Emerging,https://chuanlaoda.cn,Online marketplace for freight transporters through ships,Series A,"4,700,000",China,Chuanlaoda
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2010,Existing,https://cleano2.ca,Residential carbon capture device,Funded,,Canada,CleanO2 Carbon Capture Technologies
"Infrastructure, vessel & Asset efficiency",In-Port Vessel Time Reduction,2015,Emerging,https://clearmetal.com,Analytics platform for container shipping industry,Series B,"31,000,000",USA,Clear Metal
Fuel & Efficiency,New Fuel Types,2015,Emerging,https://clearcellpower.com,Fuel cell project developers,Seed,"631,000",USA,ClearCell Power
Fuel & Efficiency,Energy Efficiency & Storage,2016,Existing,https://clearflameengines.com,Renewable fuel drop in engine with more power and less soot and better efficiency,Seed,,USA,ClearFlame Engines
Business Model Innovation,Green Freight,2019,Distant,https://climateneutral.org/,Green certification for consumers and carbon footprint pricing,,,,Climate Neutral
Fuel & Efficiency,Energy Efficiency & Storage,2011,Existing,https://climeon.com,Industrial and geothermal waste heat recovery product,Seed,,Sweden,Climeon
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2012,Emerging,https://moftechnologies.com,"Nanomaterials for a low carbon world, CO2 adsorption properties",Series A,"1,820,000",England,MOF Technologies
Business Model Innovation,Freight Orchestration,2016,Emerging,https://cogoport.com,Online platform for shipping freight internationally,Series A,"14,381,350",India,CogoPort
Data & AI,Fleet Utilization,2016,Existing,https://cogostech.com,Intra-city freight transportation aggregator,Seed,"1,000,000",India,Cogos Technologies
Business Model Innovation,Freight Orchestration,2015,Emerging,https://coloadx.com,B2B ocean freight marketplace,Seed,"40,000",USA,CoLoadX
Fuel & Efficiency,New Vessel Design,2012,Existing,https://commsignia.com,Vehice to vehicle and infrastructure systems suppliers,Series A,"12,048,307",Hungary,Commsignia
CO2 Transparency,Blockchain For CO2 Provenance,2017,Existing,https://conjoule.de,P2P Energy marketplace to connect producers and consumers,Series A,"5,127,800",Germany,Conjoule
Data & AI,Fleet Utilization,2012,Existing,https://contguard.com,Cargo and shipment monitoring company,funded,,,Contguard
Business Model Innovation,Freight Orchestration,2017,Emerging,https://convelio.com,Tech-enabled freight forwarder for fine art shipping services,Series A,"12,022,140",France,Convelio
"Carbon CS, offsetting & trading",CO2 Upcycling,2009,Existing,https://coolplanet.com,Technology provider to manufacture hydrocarbon fuels and biocarbon products,Series E,"182,496,043",USA,Cool Planet
Fuel & Efficiency,Energy Efficiency & Storage,2014,Emerging,https://cool4sea.com,Energy saving solutions for maritime industry,Seed,"433,000",Denmark,Cool4sea
Data & AI,Digital twin,2010,Existing,https://cosmotech.com,Augmented intelligence software for utility asset optimization and infrastructure planning application,Series B,"29,250,000",France,Cosmo Tech
Fuel & Efficiency,Energy Efficiency & Storage,2013,Emerging,https://cozynergy.com,Energy renovation services to increase energy savings,Series A,"6,000,000",France,Cozynergy
Fuel & Efficiency,Energy Efficiency & Storage,2018,Emerging,https://crusoeenergy.com,Offers energy saving services to oil industries to operate more efficiently,Series A,"34,500,000",USA,Crusoe Energy
Business Model Innovation,Freight Orchestration,2014,Emerging,https://cruxsystems.com,Real-time container tracking,Acquired,"200,000",USA,Crux Systems
Fuel & Efficiency,Energy Efficiency & Storage,2010,Existing,https://ctecenergy.co.uk,Electricity from waste heat recovery,Series A,,England,CTEC Energy
"Carbon CS, offsetting & trading",CO2 Upcycling,2014,Existing,https://carboncontinuum.com,Carbon nanotubes from carbon emissions,Funded,,India,Carbon Continnum
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2015,Emerging,https://daretech.ie,Portable wind turbines for marine use,Seed,"55,000",Ireland,Dare Technology
Data & AI,Fleet Utilization,2017,Distant,https://dav.network,Blockchain-based platform for the transportation industry,Series A,"24,000,000",Switzerland,DAV
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2015,Existing,https://degroenestroomfabriek.nl,Produces solar & wind energy,Seed,,Netherlands,De Groene Stroomfabriek
Business Model Innovation,Green Freight,2011,Existing,https://dearman.co.uk,Liquid nitrogen engine technology,Series B,"26,536,000",England,Dearman
Data & AI,Fleet Utilization,2018,Emerging,https://deepblueglobe.eu,AI based navigation for maritime,,,Germany,Deep Blue Globe
Data & AI,Fleet Utilization,2017,Emerging,https://deepsea.ai,Integrated solutions for AI-enabled vessel monitoring & management,,,,DeepSea
Data & AI,Fleet Utilization,2013,Existing,https://deliver.ru,Online marketplace for freight transportation,Seed,"15,500,000",Russia,Deliver
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2012,Existing,https://delphisonic.com,Hardware and software provider for industrial equipment and conditions monitoring,Seed,,Turkey,DelphiSonic
CO2 Transparency,Blockchain For CO2 Provenance,2012,Emerging,https://depsys.ch,Integrated solution provider for power grid management,Series B,"18,253,762",Switzerland,DEPsys
Business Model Innovation,Freight Orchestration,2017,Distant,https://dexfreight.io,Collaborative decentralized freight marketplace,Seed,"50,000",USA,dexFreight
Business Model Innovation,Freight Orchestration,2014,Emerging,https://dgnote.com,Digital freight forwarding platform,Seed,"324,450",India,DgNote
Data & AI,Digital twin,2013,Emerging,https://dizmo.com,Integration Platform-as-a-Service for microservices integration,Seed,"2,000,000",Switzerland,Dizmo
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2017,Emerging,https://dutchmarineenergy.com,Developer of marine energy projects,Seed,,Netherlands,DMEC
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2015,Emerging,https://dynamon.co.uk,Fuel saving solution for the logistics industry,Funded,,England,Dynamon
Data & AI,Port-Side Analytics,2005,Existing,https://e-ports.com,Online platform for port services,Series A,,China,E-PORTS
Business Model Innovation,Freight Orchestration,2017,Emerging,https://e2log.com,Online marketplace for door-to-door ocean freight transportation services,Seed,"1,749,999",USA,e2log
Data & AI,Fleet Utilization,2008,Existing,https://www.easymarine.it/index.html,AI Fleet Management,,,,Easy Marine
CO2 Transparency,CO2 Labelling,2008,Emerging,https://eaternity.org,Software to measure carbon footprint of a meal,Funded,,Switzerland,Eaternity
Data & AI,Digital twin,2017,Distant,https://echo.aero,Provider of software services and solutions for aviation interior products,Seed,,Germany,Echo Aero
Fuel & Efficiency,Energy Efficiency & Storage,2007,Existing,https://echogen.com,Waste heat recovery system for industrial applications,Seed,,USA,Echogen Power Systems
Fuel & Efficiency,New Fuel Types,2015,Existing,https://ecolectro.com,Low cost Fuel Cell Membrane developer,Seed,,USA,Ecolectro
Data & AI,Fleet Utilization,2017,Existing,https://ecotruck.vn,Online marketplace for freight transportation services,Seed,"2,000,000",Vietnam,EcoTruck
Business Model Innovation,Freight Orchestration,2018,Emerging,https://efret.tn,Online marketplace for freight transportation services,Funded,,Tunisia,eFret.tn
CO2 Transparency,CO2 Tracking,2017,Existing,https://electrify.asia,Elecrticity marketplace on blockchain,Seed,,Singapore,Electrify
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2010,Emerging,https://electrochaea.com,Technology developer for converting electric power and carbondioxide to methane,Series A,"250,000",Germany,Electrochaea
CO2 Transparency,Blockchain For CO2 Provenance,2015,Existing,https://electron.org.uk,Ethereum blockchain platform for smart grid,Seed,"1,457,700",England,Electron
Fuel & Efficiency,New Fuel Types,2010,Existing,https://e1na.com,"Makes hydrogen generator, fuel reformer.",Seed,"949,987",USA,Element 1
Data & AI,Digital twin,2014,Emerging,https://elementanalytics.com,Acoustics based condition monitoring and digital twin solutions,Series A,"26,500,000",USA,Element Analytics
Fuel & Efficiency,New Fuel Types,2018,Emerging,https://eliciusenergy.com,Technology solutions provider for hydrogen fuel cells,Seed,,India,Elicius
Fuel & Efficiency,Energy Efficiency & Storage,2015,Emerging,https://elmodis.com,Machine Monitoring platform,Series A,"5,150,000",Poland,Elmodis
"Infrastructure, vessel & Asset efficiency",Drones,2016,Emerging,https://elroyair.com,Developer of autonomous aircraft systems for delivery purposes,Seed,"13,800,000",USA,Elroy Air
CO2 Transparency,CO2 Tracking,2009,Existing,https://emisense.com,Manufactures emissions sensors for use in vehicles,Series C,"9,500,000",USA,EmiSense
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2016,Emerging,https://emsys-maritime.com,Manufacturer of marine emissions monitoring systems,Funded,,England,Emsys Maritime
Fuel & Efficiency,Energy Efficiency & Storage,2017,Emerging,https://enapter.com,Electrolyser-based grid energy storage system,Funded,,Germany,Enapter
"Infrastructure, vessel & Asset efficiency",Crew Incentivisation,2015,Emerging,https://engagedly.com,Performance management software for enterprises,Funded,,USA,Engagedly
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2011,Existing,https://enhancedenergygroup.com,Renewables and Environment company,Seed,"250,000",USA,Enhanced Energy Group
Fuel & Efficiency,Energy Efficiency & Storage,2005,Distant,https://eniram.fi,Fuel saving system for maritime vessels,Acquired,"6,500,000",Finland,Eniram
"Carbon CS, offsetting & trading",CO2 Upcycling,2015,Emerging,https://enobraq.com,Providing solution to convert co2 to chemicals,Series A,"3,710,920",France,EnobraQ’s
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2011,Existing,https://enowenergy.com,Renewable energy solutions for mobility purpose,Series A,"5,300,000",USA,eNow Energy
Fuel & Efficiency,Energy Efficiency & Storage,2010,Existing,https://enverid.com,Energy saving HVAC solutions,Series B,"14,601,825",USA,enVerid
Data & AI,Fleet Utilization,2015,Emerging,https://e-odyn.com,Data set provider to manage ocean dynamics,Seed,"657,084",France,eOdyn
Data & AI,Fleet Utilization,2019,Existing,https://equll.co,Online marketplace for drayage trucking services,Seed,"30,000",USA,Equll
Fuel & Efficiency,New Fuel Types,2012,Existing,https://ergosup.com,Electrochemical system developer for hydrogen generation,Series A,"18,300,000",France,Ergosup
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2010,Existing,https://etagen.com,Linear generator which drive magnets through copper coils to produce electricity,Series C,"133,000,000",USA,EtaGen
Fuel & Efficiency,New Fuel Types,2019,Distant,https://everfuel.de,Hydrogen-based fueling solutions provider,Funded,,Denmark,Everfuel
Data & AI,Fleet Utilization,2016,Existing,https://everoad.com,Online marketplace for booking trucking carriers,Series A,"20,304,400",France,Everoad
Fuel & Efficiency,New Vessel Design,2018,Distant,https://evoy.no,Manufacturer of marine electric propulsion systems,Seed,"221,274",Norway,Evoy
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2014,Emerging,https://exilator.com,Marine exhaust system for ships with proprietary filter,Funded,,USA,Exilator
Fuel & Efficiency,Energy Efficiency & Storage,2009,Existing,https://exoes.com,Developer of an exhaust heat recovery technology designed to convert heat into electricity,Seed,"2,733,700",France,Exoes
Business Model Innovation,Freight Orchestration,2016,Distant,https://expeditor.pro,Online forwarding platform for freight transportation,Seed,"32,818",Russia,Expeditor.pro
Business Model Innovation,Freight Orchestration,2014,Emerging,https://explect.com,Tech-enabled multi-modal freight forwarder,Funded,,Netherlands,Explect
Business Model Innovation,Freight Orchestration,2016,Emerging,https://explorate.co,Upcoming online marketplace for ocean transportation,Funded,,Australia,Explorate
Business Model Innovation,Freight Orchestration,2012,Existing,https://eyesonfreight.com,The logistics and supply chain marketpalce,Funded,,USA,Eyes On Freight
Business Model Innovation,Freight Orchestration,2015,Existing,https://ezcarry.com,Online marketplace for international logistics services,Series A,"18,800,000",China,ezcarry
Data & AI,Fleet Utilization,2016,Existing,https://ezyhaul.com,Cloud-based market platform for booking freight transportation services,Series B,"21,840,000",Singapore,EZYHAUL
Business Model Innovation,Freight Orchestration,2019,Distant,https://f-drones.com/,transportation services to deliver supplies to ships and offshore platforms at zero emissions vs. 2.5kg for helicopter or 5kg for launch boat,,,Singapore,F-drones
"Infrastructure, vessel & Asset efficiency",Drones,2019,Emerging,https://f-drones.com,Developer of autonomous electric delivery drones for maritime logistics,Funded,,Singapore,F-drones
Fuel & Efficiency,Energy Efficiency & Storage,2016,Existing,https://faradaygrid.com,Autonomous and responsive transformer like solution,Seed,"32,530,000",England,Faraday Grid
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2014,Emerging,https://smartgreenshipping.com/fastrigs/,sail powered shipping,,,,Fastrigs
Fuel & Efficiency,New Fuel Types,2016,Existing,https://fenergy.com.cn,Manufacturer of hydrogen fuel cells and solar power systems,Seed,,China,Fengyuan Innovation
Fuel & Efficiency,New Fuel Types,2011,Existing,https://firstlightfusion.com,Pulse-powered nuclear fusion process developer,Series B,"35,400,000",England,First Light Fusion
Fuel & Efficiency,New Fuel Types,2014,Existing,https://firstelementfuel.com,Hydrogen refueling station network,Series A,"24,000,000",USA,FirstElement Fuel
Business Model Innovation,Freight Orchestration,2014,Existing,https://tryfleet.com,Tech-enabled freight forwarder,Series A,"14,000,000",USA,Fleet
Business Model Innovation,Freight Orchestration,2013,Emerging,https://flexport.com,Online freight forwarder,Series E,"1,304,000,000",USA,Flexport
"Infrastructure, vessel & Asset efficiency",Drones,2014,Existing,https://flightwave.aero,Manufacturer of Unmanned Aerial Systems,Seed,,USA,FlightWave Aerospace
